subid,list
ff,1
practice,1
test,1
test,1
test2,2
test,1
erica_1,1
erica_1,1
erica_1,1
erica_1,1
erica_1,1
erica_1,1
Erica-2,1
Erica-2,1
Erica-2,1
pr2,1
pr2,1
Ff,1
Ff,1
Ff,1
Ff,1
Ff,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
141120-01-sc,1
Practice,1
Practice,1
Practice,1
Practice,1
Practice,1
Practice,1
Practice,1
Practice,1
ff,1
ff,1
ff,1
ff,1
ff,1
ff,1
ff,1
ff,1
ff,1
ff,1
ff,1
erica,1
erica,1
erica,1
erica,1
ey,1
ey,1
ey,1
ey,1
ey,1
ey,1
ey,1
ey,1
ey,1
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
ey,2
erica,2
erica,2
erica,2
erica,2
erica,2
erica,2
erica,2
erica,2
erica,2
erica_test,2
erica_test,2
erica_test3,2
erica_test3,2
erica_test3,2
erica_test3,2
test_erica4,2
test_erica4,2
erica_t,2
erica_t,2
erica_t,1
erica_t,1
erica_t,1
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_t,2
erica_test5,2
erica_test5,2
erica_test5,2
erica_test5,2
erica_test5,2
erica_test5,2
test_erica6,2
test_erica6,2
test_erica6,2
test_erica6,2
test_erica6,2
test_erica7,2
test_erica7,2
test_erica7,2
test_erica7,2
test_erica8,2
test_erica8,2
test_erica8,2
test_erica8,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
test_erica9,2
erica_test10,2
erica_test10,2
test_erica11,1
test_erica11,1
test_erica11,1
test_erica11,1
test,2
test,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
Test ,2
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
141204-01-sc,1
