"subid","age_group","age","sex","english","site","trial_type","trial_num","item_num","correct","rt"
"141204-01-sc",3,3.95,"M",6,"bing","practice",1,NA,"Y",7545
"141204-01-sc",3,3.95,"M",6,"bing","practice",2,NA,"Y",1610
"141204-01-sc",3,3.95,"M",6,"bing","control_single",3,"2vs2","Y",1997
"141204-01-sc",3,3.95,"M",6,"bing","inference",4,"3vs1","Y",1897
"141204-01-sc",3,3.95,"M",6,"bing","control_double",5,"3vs1","Y",3739
"141204-01-sc",3,3.95,"M",6,"bing","control_single",6,"1vs1","Y",1517
"141204-01-sc",3,3.95,"M",6,"bing","inference",7,"3vs1","N",15925
"141204-01-sc",3,3.95,"M",6,"bing","control_single",8,"1vs1","Y",3315
"141204-01-sc",3,3.95,"M",6,"bing","control_single",9,"2vs2","Y",2443
"141204-01-sc",3,3.95,"M",6,"bing","control_double",10,"2vs1","Y",2169
"141204-01-sc",3,3.95,"M",6,"bing","control_double",11,"3vs1","Y",3193
"141204-01-sc",3,3.95,"M",6,"bing","control_single",12,"1vs1","Y",2063
"141204-01-sc",3,3.95,"M",6,"bing","control_single",13,"2vs2","Y",2650
"141204-01-sc",3,3.95,"M",6,"bing","inference",14,"2vs1","Y",4229
"141204-01-sc",3,3.95,"M",6,"bing","control_single",15,"1vs1","Y",1967
"141204-01-sc",3,3.95,"M",6,"bing","control_double",16,"2vs1","Y",2199
"141204-02-sc",3,3.63,"F",6,"bing","practice",1,NA,"N",8396
"141204-02-sc",3,3.63,"F",6,"bing","practice",2,NA,"N",15659
"141204-02-sc",3,3.63,"F",6,"bing","control_single",3,"2vs2","Y",2041
"141204-02-sc",3,3.63,"F",6,"bing","inference",4,"2vs1","N",1639
"141204-02-sc",3,3.63,"F",6,"bing","control_double",5,"3vs1","Y",1656
"141204-02-sc",3,3.63,"F",6,"bing","control_single",6,"2vs2","N",2177
"141204-02-sc",3,3.63,"F",6,"bing","inference",7,"2vs1","Y",2541
"141204-02-sc",3,3.63,"F",6,"bing","control_single",8,"2vs2","Y",1655
"141204-02-sc",3,3.63,"F",6,"bing","control_single",9,"2vs2","Y",1671
"141204-02-sc",3,3.63,"F",6,"bing","control_double",10,"2vs1","Y",2272
"141204-02-sc",3,3.63,"F",6,"bing","control_double",11,"3vs1","Y",1728
"141204-02-sc",3,3.63,"F",6,"bing","control_single",12,"1vs1","Y",1727
"141204-02-sc",3,3.63,"F",6,"bing","control_single",13,"1vs1","Y",2293
"141204-02-sc",3,3.63,"F",6,"bing","inference",14,"3vs1","N",1929
"141204-02-sc",3,3.63,"F",6,"bing","control_single",15,"1vs1","Y",2015
"141204-02-sc",3,3.63,"F",6,"bing","control_double",16,"2vs1","Y",1839
"141204-03-sc",3,3.84,"F",6,"bing","practice",1,NA,"Y",6584
"141204-03-sc",3,3.84,"F",6,"bing","practice",2,NA,"Y",2177
"141204-03-sc",3,3.84,"F",6,"bing","control_single",3,"2vs2","Y",2253
"141204-03-sc",3,3.84,"F",6,"bing","inference",4,"3vs1","Y",2257
"141204-03-sc",3,3.84,"F",6,"bing","control_double",5,"3vs1","Y",3995
"141204-03-sc",3,3.84,"F",6,"bing","control_single",6,"1vs1","Y",1788
"141204-03-sc",3,3.84,"F",6,"bing","inference",7,"3vs1","N",31475
"141204-03-sc",3,3.84,"F",6,"bing","control_single",8,"1vs1","Y",2487
"141204-03-sc",3,3.84,"F",6,"bing","control_single",9,"2vs2","Y",2926
"141204-03-sc",3,3.84,"F",6,"bing","control_double",10,"2vs1","Y",2542
"141204-03-sc",3,3.84,"F",6,"bing","control_double",11,"3vs1","Y",1806
"141204-03-sc",3,3.84,"F",6,"bing","control_single",12,"1vs1","Y",1901
"141204-03-sc",3,3.84,"F",6,"bing","control_single",13,"2vs2","Y",1861
