subid,list,trial_num,word,pic1,pic2,trial_type,pic1type,pic2type,side_clicked,pic_clicked,correct,datetesting,time,rt
180124_test1,1,1,practice1_cow,practice1_cow,practice1_lion,practice,target,distractor,L,practice1_cow,Y,1/24/18,14:07,1779
180124_test1,1,2,practice2_monkey,practice2_rabbit,practice2_monkey,practice,distractor,target,R,practice2_monkey,Y,1/24/18,14:07,2021
180124_test1,1,3,elmo_teddybear,elmo_flower,elmo_teddybear,control_single,distractor,target,R,elmo_teddybear,Y,1/24/18,14:07,2424
180124_test1,1,4,elmo_apple,elmo_apple,elmo_orange,inference,target,distractor,R,elmo_orange,N,1/24/18,14:07,1881
180124_test1,1,5,grover_dog,grover_cat,grover_dog,control_double,distractor,target,R,grover_dog,Y,1/24/18,14:07,1699
180124_test1,1,6,elmo_banana,elmo_banana,elmo_carrot,control_single,target,distractor,L,elmo_banana,Y,1/24/18,14:07,1427
180124_test1,1,7,grover_car,grover_car,grover_bicycle,inference,target,distractor,L,grover_car,Y,1/24/18,14:07,1606
180124_test1,1,8,ernie_orange,ernie_apple,ernie_orange,control_single,distractor,target,R,ernie_orange,Y,1/24/18,14:07,1376
180124_test1,1,9,bert_cat,bert_cat,bert_dog,control_single,target,distractor,L,bert_cat,Y,1/24/18,14:07,1557
180124_test1,1,10,bert_ball,bert_ball,bert_truck,control_double,target,distractor,L,bert_ball,Y,1/24/18,14:07,2022
180124_test1,1,11,bert_flower,bert_flower,bert_teddybear,control_double,target,distractor,L,bert_flower,Y,1/24/18,14:07,1345
180124_test1,1,12,elmo_truck,elmo_ball,elmo_truck,control_single,distractor,target,R,elmo_truck,Y,1/24/18,14:07,1367
180124_test1,1,13,bert_bicycle,bert_car,bert_bicycle,control_single,distractor,target,R,bert_bicycle,Y,1/24/18,14:07,1771
180124_test1,1,14,bert_carrot,bert_banana,bert_carrot,inference,distractor,target,R,bert_carrot,Y,1/24/18,14:07,1275
180124_test1,1,15,ernie_car,ernie_car,ernie_bicycle,control_single,target,distractor,L,ernie_car,Y,1/24/18,14:07,1357
180124_test1,1,16,grover_orange,grover_apple,grover_orange,control_double,distractor,target,R,grover_orange,Y,1/24/18,14:07,1113
180124_test1,1,17,ernie_teddybear,ernie_flower,ernie_teddybear,inference,distractor,target,R,ernie_teddybear,Y,1/24/18,14:07,1686
180124_test1,1,18,grover_ball,grover_ball,grover_truck,control_single,target,distractor,L,grover_ball,Y,1/24/18,14:07,1208
180124_test2,2,1,practice1_lion,practice1_cow,practice1_lion,practice,distractor,target,R,practice1_lion,Y,1/24/18,14:22,1405
180124_test2,2,2,practice2_rabbit,practice2_rabbit,practice2_monkey,practice,target,distractor,L,practice2_rabbit,Y,1/24/18,14:22,1056
180124_test2,2,3,grover_orange2,grover_apple2,grover_orange2,control_single,distractor,target,R,grover_orange2,Y,1/24/18,14:22,1288
180124_test2,2,4,bert_dog2,bert_cat2,bert_dog2,inference,distractor,target,R,bert_dog2,Y,1/24/18,14:22,1423
180124_test2,2,5,bert_car2,bert_car2,bert_bicycle2,control_double,target,distractor,L,bert_car2,Y,1/24/18,14:22,1260
180124_test2,2,6,bert_teddybear2,bert_flower2,bert_teddybear2,control_single,distractor,target,R,bert_teddybear2,Y,1/24/18,14:22,1325
180124_test2,2,7,grover_ball2,grover_ball2,grover_truck2,inference,target,distractor,L,grover_ball2,Y,1/24/18,14:22,1462
180124_test2,2,8,elmo_cat2,elmo_dog2,elmo_cat2,control_single,distractor,target,R,elmo_cat2,Y,1/24/18,14:22,1791
180124_test2,2,9,grover_car2,grover_car2,grover_bicycle2,control_single,target,distractor,L,grover_car2,Y,1/24/18,14:22,1981
180124_test2,2,10,grover_carrot2,grover_banana2,grover_carrot2,control_double,distractor,target,R,grover_carrot2,Y,1/24/18,14:22,1632
180124_test2,2,11,ernie_apple2,ernie_apple2,ernie_orange2,control_double,target,distractor,L,ernie_apple2,Y,1/24/18,14:22,1255
180124_test2,2,12,bert_banana2,bert_banana2,bert_carrot2,control_single,target,distractor,L,bert_banana2,Y,1/24/18,14:22,1326
180124_test2,2,13,bert_truck2,bert_ball2,bert_truck2,control_single,distractor,target,R,bert_truck2,Y,1/24/18,14:22,1399
180124_test2,2,14,grover_flower2,grover_teddybear2,grover_flower2,inference,distractor,target,R,grover_flower2,Y,1/24/18,14:22,2178
180124_test2,2,15,ernie_flower2,ernie_flower2,ernie_teddybear2,control_single,target,distractor,L,ernie_flower2,Y,1/24/18,14:22,1544
180124_test2,2,16,ernie_cat2,ernie_cat2,ernie_dog2,control_double,target,distractor,L,ernie_cat2,Y,1/24/18,14:22,1600
180124_test2,2,17,ernie_bicycle2,ernie_car2,ernie_bicycle2,inference,distractor,target,L,ernie_car2,N,1/24/18,14:22,1730
180124_test2,2,18,elmo_apple2,elmo_apple2,elmo_orange2,control_single,target,distractor,L,elmo_apple2,Y,1/24/18,14:22,1405
