subid,keep_drop,reason_drop,consent,consent-vid,dob,age_group,sex,hispanic_latino,Race,English,lang1,lang2,lang3,parent1_ed,parent2_ed,preemie,comment,dot,age
180125_1,drop,technical error,Y,Y,12/23/15,2,F,N,White,75,French,NA,NA,some graduate school,graduate degree,N,,1/25/18,2.09
180125_2,keep,NA,Y,Y,2/26/12,5,F,N,Japanese/White,75,Japanese,NA,NA,some college,some college,N,,1/25/18,5.92
180125_3,keep,NA,Y,N (sharing),1/29/15,2,M,N,Asian,90-95,Spanish,NA,NA,four year college,four year college,N,,1/25/18,2.99
180125_4,keep,NA,Y,Y,2/14/15,2,F,N,Asian,90-95,NA,NA,NA,graduate degree,four year college,N,,1/25/18,2.95
180125_5,drop,not the parent,Y,N,1/15/14,4,F,Y,White,90-95,Spanish,NA,NA,four year college,NA,N,,1/25/18,4.03
180126_1,drop,not the parent,Y,N,12/24/15,2,F,N,Asian/White,100,NA,NA,NA,graduate degree,NA,N,,1/26/18,2.09
180126_2,drop,fussiness,Y,Y,8/10/15,2,F,N,White,100,NA,NA,NA,graduate degree,graduate degree,N,,1/26/18,2.47
180126_3,drop,technical error,Y,N,11/8/14,3,F,N,Asian,90-95,Chinese,NA,NA,four year college,some college,N,,1/26/18,3.22
180126_4,keep,NA,Y,Y,2/18/13,4,M,N,White,100,NA,NA,NA,four year college,graduate degree,N,,1/26/18,4.94
180201_1,keep,NA,Y,Y,6/26/15,2,F,N,White,100,NA,NA,NA,graduate degree,four year college,N,,2/1/18,2.61
180201_2,drop,fussiness,Y,N,11/28/14,3,M,N,Asian,five-ten,Chinese,NA,NA,graduate degree,graduate degree,N,,2/1/18,3.18
180206_1,keep,NA,Y,N,8/22/13,4,M,N,Asian,50,mandarine,NA,NA,four year college,four year college,N,mistakenly put 06 instead of 07 into the app,2/6/18,4.46
180207_2,keep,only went through half of the trials. ,Y,Y,1/4/15,3,F,Y,Asian,25,Japanese,NA,NA,graduate degree,graduate degree,N,,2/7/18,3.10
180207_3,keep,NA,Y,Y,5/31/14,3,M,N,White,100,NA,NA,NA,four year college,four year college,N,seemed to favor the L picture most of the time,2/7/18,3.69
180208_1,keep,NA,Y,Y,7/5/14,3,F,Y,Asian/White,100,Chinese,Spanish,NA,graduate degree,four year college,N,,2/8/18,3.60
180208_3,keep,NA,Y,Y,10/10/14,3,M,N,White,100,Spanish,NA,NA,four year college,some college,N,,2/8/18,3.33
180208_4,drop,fussiness,Y,Y,9/5/15,2,M,N,Asian,50,Hindi,NA,NA,graduate degree,graduate degree,N,,2/8/18,2.43
180208_5,drop,technical error,Y,Y,9/22/14,3,F,N,Asian,25,Manderin,NA,NA,four year college,four year college,N,,2/8/18,3.38
180209_1,keep,NA,Y,Y,3/13/15,2,M,N,Asian,five-ten,Mandarin,NA,NA,graduate degree,graduate degree,N,,2/9/18,2.92
180209_2,keep,NA,Y,Y,7/11/15,2,F,Y,White/Other (Latin),90-95,Portuguese,Spanish,NA,graduate degree,graduate degree,N,,2/9/18,2.59
180209_3,keep,NA,Y,N,4/26/14,3,F,N,White,25,Polish,NA,NA,graduate degree,graduate degree,N,,2/9/18,3.79
180209_4,keep,NA,Y,Y,10/17/15,2,F,N,White,100,NA,NA,NA,graduate degree,graduate degree,N,,2/9/18,2.32
180209_5,drop,technical error,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2/9/18,NA
180209_6,keep,NA,Y,Y,"6/28/16 (the dad said he was 3, so I think he put the wrong year)",?,M,N,White,100,NA,NA,NA,graduate degree,graduate degree,N,"dad wanted the door open, his other kids were outside the room. ",2/9/18,NA
180214_1,keep,NA,Y,Y,8/28/15,2,F,N,Asian,25,Korean,NA,NA,graduate degree,graduate degree,N,,2/14/18,2.47
180214_2b,keep,NA,Y,Y,1/27/15,3,F,N,White,75,Spanish (<30 hrs a week),NA,NA,four year college,graduate degree,N,,2/14/18,3.05
180214_3,drop,parental interference,Y,Y,8/16/14,3,M,N,Asian,25,Korean,NA,NA,four year college,graduate degree,Y,,2/14/18,3.50
180214_4,keep,NA,Y,Y,5/3/15,2,M,N,White,100,French,NA,NA,"four year college, some graduate school",four year college,N,,2/14/18,2.79
180214_5,keep,NA,Y,Y,11/1/14,3,F,Y,NA,75,Spanish,NA,NA,some college,some college,N,,2/14/18,3.29
180215_1,keep,NA,Y,Y,5/NA/13,4,F,N,Asian,90-95,English,guyurati (not sure about the spelling,NA,four year college,four year college,Y,,2/15/18,NA
180215_2,keep,NA,Y,Y,5/4/14,3,F,N,White,50,German,NA,NA,graduate degree,graduate degree,N,,2/15/18,3.79
180215_3,keep,NA,Y,Y,10/14/13,4,F,N,Asian/White,100,Tagalog,NA,NA,four year college,four year college,N,,2/15/18,4.34
180215_4,keep,NA,Y,Y,4/13/15,2,M,Y,White,90-95,Spanish,NA,NA,high school,decline to state,N,,2/15/18,2.85
180216_1,keep,NA,Y,Y,4/6/12,5,M,N,decline to state,100,Spanish (school,NA,NA,graduate degree,graduate degree,N,,2/16/18,5.87
180216_2,keep,NA,Y,Y,6/16/13,4,M,N,White,100,NA,NA,NA,graduate degree,four year college,N,,2/16/18,4.67
180216_3,keep,NA,Y,Y,3/26/15,2,M,N,White/Other (Filipino),100,NA,NA,NA,four year college,four year college,N,,2/16/18,2.90
180216_4,keep,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2/16/18,NA
180221_1,keep,NA,Y,Y,1/16/14,4,M,N,Asian,90-95,Chinese,NA,NA,graduate degree,graduate degree,N,,2/21/18,4.10
180221_2,keep,NA,Y,Y,9/22/14,3,M,N,White,100,none,NA,NA,graduate degree,graduate degree,N,,2/21/18,3.42
180221_3,keep,NA,Y,Y,7/25/12,5,M,N,White,100,NA,NA,NA,graduate degree,graduate degree,N,,2/21/18,5.58
180221_4,keep,NA,Y,Y,3/15/15,2,M,N,White,100,NA,NA,NA,graduate degree,some college,N,,2/21/18,2.94
180221_5,keep,NA,Y,Y,2/25/14,3,M,N,White,100,NA,NA,NA,graduate degree,graduate degree,N,,2/21/18,3.99
180221_6,keep,NA,Y,Y,12/27/13,4,M,N,Asian,100,NA,NA,NA,four year college,some college,Y,,2/21/18,4.16
180221_7,drop,prior exposure to expt,Y,Y,12/27/13,4,M,N,Asian,100,NA,NA,NA,four year college,some college,Y,,2/21/18,4.16
180222_1,keep,NA,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2/22/18,NA
180222_2,keep,NA,Y,N,11/8/14,3,M,N,White,90-95,Mandarin- at preschool Chinese,NA,NA,four year college/some graduate school,some college,Y,,2/22/18,3.29
180222_3,keep,NA,Y,Y,8/11/15,2,F,N,White,100,NA,NA,NA,some college,high school,Y,,2/22/18,2.54
180222_4,keep,NA,Y,NA,9/6/14,3,F,N,White,100,NA,NA,NA,some graduate school,four year college,N,,2/22/18,3.47
180222_5,keep,NA,Y,Y,4/9/14,3,M,N,White,50,Swedish,Afrikaans,NA,graduate degree,some graduate school,N,,2/22/18,3.88
180222_6,keep,NA,Y,Y,4/9/14,3,M,N,White,50,Swedish,Afrikaans,NA,graduate degree,some graduate school,N,,2/22/18,3.88
180223_1,keep,NA,Y,N,4/10/15,2,F,N,White,100,NA,NA,NA,some college,some college,N,,2/23/18,2.88
180223_2,keep,NA,Y,N,2/12/2012 (I think this is wrong because he and the mom said he was 3,?,M,Decline To State,decline to state,50,Mandarin,NA,NA,graduate degree,four year college,N,,2/23/18,NA
180223_4 (180223_3 was a dry run),keep,NA,Y,Y,12/19/14,3,F,Y,White/Other (Mexican),100,NA,NA,NA,some college,some college,N,,2/23/18,3.18
180301_1,keep,NA,Y,Y,7/23/13,4,M,N,White,25,German,NA,NA,graduate degree,graduate degree,N,,3/1/18,4.61
180302_1,keep,NA,Y,Y,10/24/12,5,M,Y,Other (Hispanic/Caucasian),90-95,Spanish,NA,NA,four year college,high school,N,,3/2/18,5.36
180302_2,keep,NA,Y,Y,12/17/14,3,F,Y,White,100,NA,NA,NA,graduate degree,graduate degree,N,,3/2/18,3.21
180302_3,keep,NA,Y,N (sharing),12/30/14,3,F,N,White,100,NA,NA,NA,four year college,four year college,N,,3/2/18,3.17
180302_4,keep,NA,Y,Y,8/4/14,3,F,N,Other (Portuguese/Greek),100,Portuguese,NA,NA,graduate degree,graduate degree,N,,3/2/18,3.58
180302_5,keep,NA,Y,Y (NA to sharing),4/17/15,2,F,Y,NA,75,Spanish,NA,NA,high school,high school,N,,3/2/18,2.88
180302_6,keep,NA,Y,Y,6/6/13,4,M,N,White,100,NA,NA,NA,high school,some college,NA,,3/2/18,4.74
180302_7,keep,NA,Y,Y,2/5/15,3,F,N,White,100,NA,NA,NA,high school,some college,NA,,3/2/18,3.07
180314_1,keep,NA,Y,Y,3/22/15,2,M,N,White,75,German,NA,NA,graduate degree,graduate degree,N,"had to switch to a different Ipad today since the one I typically use was taken back to lab. The new version of the kiosk app had a zoom function that wasn't present in the older version. So he zoomed accidentally a couple times, but I just unzoomed it and it was fine. ",3/14/18,2.98
180315_1,keep,NA,Y,Y,5/1/15,2,F,N,Asian,75,Chinese,NA,NA,graduate degree,four year college,N,"hesitant to play at first so I showed her the dots, then she was happy to play.",3/15/18,2.87
180315_2,keep,NA,Y,Y,1/26/14,4,M,N,White,100,NA,NA,NA,some college,four year college,N,"engaged, enjoyed seeing the different choices he could choose",3/15/18,4.13
180315_3 and 180315_3b,drop,health issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,didn't fill out the demographic form because she was busy helping him with the game. You could tell he didn't really understand the game.,3/15/18,NA
180315_4,keep,NA,Y,Y,7/22/12,5,M,N,White,100,NA,NA,NA,four year college,some college,N,seemed to take a little longer making the choices. ,3/15/18,5.65
180315_5,keep,NA,Y,Y,5/18/15,2,M,N,Asian/White/Other (I couldn't understand the first word but it was ___ European),50,Spanish,NA,NA,some graduate school,graduate degree,N,"exclaimed things about sesame street during the game. Fell out of chair at one point but smiled and was fine, but I just had to retell him the target word for that trial.",3/15/18,2.83
180315_6,keep,NA,Y,Y,1/23/15,3,F,Y,White,100,Spanish,NA,NA,graduate degree,graduate degree,N,"typically developing, sister has Down's Syndrome. Listened very intently, paid really good attention.",3/15/18,3.14
180315_7,drop,health issues,Y,Y,6/23/12,5,F,Y,White,100,NA,NA,NA,graduate degree,graduate degree,N,"has Down's Syndrome. Made it halfway through the game. Did really well, was happy to play. ",3/15/18,5.73
180321_1 and 180321_1b,drop,no demographic info,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"did not understand much English and started crying after the dot trial, so we didn't continue",3/21/18,NA
